True Category,Predicted As,Count
cs,econ,3
cs,eess,22
cs,math,34
cs,physics,743
cs,q-bio,12
cs,q-fin,6
cs,stat,17
econ,cs,23
econ,math,8
econ,physics,189
econ,q-fin,27
econ,stat,9
eess,cs,114
eess,math,2
eess,physics,199
eess,q-bio,1
math,cs,81
math,econ,1
math,physics,540
math,q-bio,1
math,q-fin,8
math,stat,13
physics,cs,76
physics,econ,2
physics,eess,2
physics,math,58
physics,q-bio,49
physics,q-fin,9
physics,stat,7
q-bio,cs,13
q-bio,econ,2
q-bio,math,4
q-bio,physics,464
q-bio,stat,1
q-fin,cs,6
q-fin,econ,12
q-fin,physics,264
stat,cs,54
stat,econ,6
stat,eess,1
stat,math,14
stat,physics,304
stat,q-bio,7
stat,q-fin,2
